id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,0,0,0.583,-0.131,-0.455,-0.342,20,2.10,-0.469791,-1.636168,-1.229736,2.100000,-0.585589,1.291189
1,3,1,0.945,-0.856,-0.259,-0.273,1,0.20,-0.148603,0.117024,-0.057789,0.197780,-0.292187,-0.667070
1,3,1,0.945,-0.856,-0.259,-0.273,2,0.30,-0.226677,0.170439,-0.086683,0.296557,-0.292299,-0.644718
1,3,1,0.945,-0.856,-0.259,-0.273,3,0.40,-0.307061,0.220312,-0.115578,0.395199,-0.292455,-0.622365
1,3,1,0.945,-0.856,-0.259,-0.273,4,0.50,-0.389594,0.266542,-0.144472,0.493660,-0.292655,-0.600012
1,3,1,0.945,-0.856,-0.259,-0.273,5,0.60,-0.474110,0.309038,-0.173367,0.591896,-0.292901,-0.577659
1,3,1,0.945,-0.856,-0.259,-0.273,6,0.70,-0.560440,0.347714,-0.202261,0.689861,-0.293191,-0.555307
1,3,1,0.945,-0.856,-0.259,-0.273,7,0.80,-0.648413,0.382494,-0.231156,0.787511,-0.293527,-0.532954
1,3,1,0.945,-0.856,-0.259,-0.273,8,0.90,-0.737852,0.413307,-0.260050,0.884802,-0.293908,-0.510601
1,3,1,0.945,-0.856,-0.259,-0.273,9,1.00,-0.828579,0.440092,-0.288944,0.981689,-0.294334,-0.488249
1,3,1,0.945,-0.856,-0.259,-0.273,10,1.10,-0.920413,0.462796,-0.317839,1.078128,-0.294806,-0.465896
1,3,1,0.945,-0.856,-0.259,-0.273,11,1.20,-1.013169,0.481373,-0.346733,1.174076,-0.295324,-0.443543
1,3,1,0.945,-0.856,-0.259,-0.273,12,1.30,-1.106663,0.495786,-0.375628,1.269489,-0.295889,-0.421190
1,3,1,0.945,-0.856,-0.259,-0.273,13,1.40,-1.200707,0.506007,-0.404522,1.364324,-0.296500,-0.398838
1,3,1,0.945,-0.856,-0.259,-0.273,14,1.50,-1.295115,0.512014,-0.433417,1.458537,-0.297158,-0.376485
1,3,1,0.945,-0.856,-0.259,-0.273,15,1.60,-1.389696,0.513796,-0.462311,1.552087,-0.297864,-0.354132
1,3,1,0.945,-0.856,-0.259,-0.273,16,1.70,-1.484263,0.511350,-0.491205,1.644931,-0.298618,-0.331779
1,3,1,0.945,-0.856,-0.259,-0.273,17,1.80,-1.578626,0.504679,-0.520100,1.737027,-0.299420,-0.309427
1,3,1,0.945,-0.856,-0.259,-0.273,18,1.90,-1.672596,0.493799,-0.548994,1.828335,-0.300270,-0.287074
1,3,1,0.945,-0.856,-0.259,-0.273,19,2.00,-1.765986,0.478729,-0.577889,1.918813,-0.301170,-0.264721
1,3,1,0.945,-0.856,-0.259,-0.273,20,2.30,-2.040818,0.408731,-0.664572,2.184870,-0.304170,-0.197663
2,2,1,0.613,-0.213,0.300,-0.479,1,0.20,-0.028491,0.116680,-0.156200,0.197039,-0.792735,-1.331304
2,2,1,0.613,-0.213,0.300,-0.479,2,0.30,-0.044342,0.174608,-0.234300,0.295551,-0.792756,-1.322103
2,2,1,0.613,-0.213,0.300,-0.479,3,0.40,-0.061256,0.232234,-0.312400,0.394054,-0.792785,-1.312902
2,2,1,0.613,-0.213,0.300,-0.479,4,0.50,-0.079227,0.289538,-0.390500,0.492544,-0.792822,-1.303701
2,2,1,0.613,-0.213,0.300,-0.479,5,0.60,-0.098250,0.346503,-0.468599,0.591018,-0.792868,-1.294501
2,2,1,0.613,-0.213,0.300,-0.479,6,0.70,-0.118318,0.403108,-0.546699,0.689474,-0.792922,-1.285300
2,2,1,0.613,-0.213,0.300,-0.479,7,0.80,-0.139424,0.459334,-0.624799,0.787909,-0.792984,-1.276099
2,2,1,0.613,-0.213,0.300,-0.479,8,0.90,-0.161561,0.515162,-0.702899,0.886319,-0.793055,-1.266898
2,2,1,0.613,-0.213,0.300,-0.479,9,1.00,-0.184722,0.570573,-0.780999,0.984700,-0.793134,-1.257697
2,2,1,0.613,-0.213,0.300,-0.479,20,2.20,-0.539290,1.196329,-1.718198,2.161999,-0.794726,-1.147288
3,4,-1,0.617,0.198,0.310,-0.009,0,0.20,-0.008069,0.119007,-0.002821,0.119314,-0.023644,-1.503100
3,4,-1,0.617,0.198,0.310,-0.009,1,0.30,-0.010460,0.178602,-0.004232,0.178958,-0.023646,-1.512296
3,4,-1,0.617,0.198,0.310,-0.009,2,0.50,-0.011953,0.297872,-0.007053,0.298196,-0.023651,-1.530690
3,4,-1,0.617,0.198,0.310,-0.009,3,0.60,-0.011054,0.357508,-0.008463,0.357779,-0.023655,-1.539887
3,4,-1,0.617,0.198,0.310,-0.009,4,0.80,-0.005967,0.476680,-0.011284,0.476851,-0.023664,-1.558280
3,4,-1,0.617,0.198,0.310,-0.009,5,1.00,0.003500,0.595584,-0.014105,0.595761,-0.023676,1.564919
3,4,-1,0.617,0.198,0.310,-0.009,6,1.10,0.009872,0.654885,-0.015516,0.655143,-0.023683,1.555722
3,4,-1,0.617,0.198,0.310,-0.009,7,1.30,0.025883,0.773086,-0.018337,0.773736,-0.023699,1.537329
3,4,-1,0.617,0.198,0.310,-0.009,8,1.40,0.035516,0.831945,-0.019747,0.832937,-0.023708,1.528132
3,4,-1,0.617,0.198,0.310,-0.009,9,1.60,0.058021,0.949083,-0.022569,0.951123,-0.023728,1.509739
3,4,-1,0.617,0.198,0.310,-0.009,10,1.80,0.084819,1.065314,-0.025390,1.068987,-0.023751,1.491345
3,4,-1,0.617,0.198,0.310,-0.009,11,1.90,0.099816,1.123040,-0.026800,1.127786,-0.023763,1.482149
3,4,-1,0.617,0.198,0.310,-0.009,12,2.10,0.132984,1.237616,-0.029621,1.245093,-0.023790,1.463755
3,4,-1,0.617,0.198,0.310,-0.009,13,2.20,0.151143,1.294427,-0.031032,1.303591,-0.023805,1.454559
3,4,-1,0.617,0.198,0.310,-0.009,14,2.40,0.190579,1.407000,-0.033853,1.420252,-0.023836,1.436165
3,4,-1,0.617,0.198,0.310,-0.009,15,2.60,0.234129,1.518046,-0.036674,1.536432,-0.023869,1.417772
3,4,-1,0.617,0.198,0.310,-0.009,16,2.70,0.257428,1.572949,-0.038084,1.594330,-0.023887,1.408575
3,4,-1,0.617,0.198,0.310,-0.009,17,2.90,0.307036,1.681424,-0.040905,1.709717,-0.023925,1.390181
3,4,-1,0.617,0.198,0.310,-0.009,18,3.10,0.360600,1.788001,-0.043726,1.824525,-0.023966,1.371788
3,4,-1,0.617,0.198,0.310,-0.009,19,3.20,0.388843,1.840533,-0.045137,1.881700,-0.023987,1.362591
3,4,-1,0.617,0.198,0.310,-0.009,20,3.60,0.511329,2.045201,-0.050779,2.108763,-0.024080,1.325804
4,3,-1,0.443,-0.250,-0.285,-0.183,1,0.20,-0.052609,-0.162644,-0.082717,0.189902,-0.435577,1.257957
4,3,-1,0.443,-0.250,-0.285,-0.183,2,0.30,-0.081214,-0.243189,-0.124075,0.284836,-0.435603,1.248487
4,3,-1,0.443,-0.250,-0.285,-0.183,3,0.40,-0.111340,-0.323179,-0.165434,0.379749,-0.435640,1.239016
4,3,-1,0.443,-0.250,-0.285,-0.183,4,0.50,-0.142975,-0.402583,-0.206792,0.474635,-0.435687,1.229546
4,3,-1,0.443,-0.250,-0.285,-0.183,5,0.60,-0.176109,-0.481374,-0.248151,0.569486,-0.435746,1.220075
4,3,-1,0.443,-0.250,-0.285,-0.183,6,0.70,-0.210729,-0.559523,-0.289509,0.664295,-0.435814,1.210605
4,3,-1,0.443,-0.250,-0.285,-0.183,7,0.80,-0.246822,-0.637003,-0.330868,0.759057,-0.435893,1.201134
4,3,-1,0.443,-0.250,-0.285,-0.183,8,0.90,-0.284377,-0.713785,-0.372226,0.853763,-0.435983,1.191664
4,3,-1,0.443,-0.250,-0.285,-0.183,9,1.00,-0.323379,-0.789842,-0.413585,0.948407,-0.436083,1.182193
4,3,-1,0.443,-0.250,-0.285,-0.183,10,1.10,-0.363815,-0.865146,-0.454943,1.042983,-0.436194,1.172723
4,3,-1,0.443,-0.250,-0.285,-0.183,11,1.20,-0.405670,-0.939672,-0.496302,1.137483,-0.436316,1.163252
4,3,-1,0.443,-0.250,-0.285,-0.183,12,1.30,-0.448929,-1.013391,-0.537660,1.231900,-0.436448,1.153782
4,3,-1,0.443,-0.250,-0.285,-0.183,13,1.40,-0.493576,-1.086278,-0.579019,1.326227,-0.436591,1.144311
4,3,-1,0.443,-0.250,-0.285,-0.183,14,1.50,-0.539596,-1.158306,-0.620377,1.420459,-0.436744,1.134841
4,3,-1,0.443,-0.250,-0.285,-0.183,15,1.60,-0.586971,-1.229449,-0.661736,1.514587,-0.436908,1.125370
