id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,1,1,1.271,0.470,0.257,-1.152,1,0.20,0.084215,-0.004143,-0.181354,0.199997,-0.906787,-0.049161
0,1,1,1.271,0.470,0.257,-1.152,2,0.30,0.126375,-0.004522,-0.272032,0.299987,-0.906811,-0.035768
0,1,1,1.271,0.470,0.257,-1.152,3,0.40,0.168530,-0.003771,-0.362709,0.399968,-0.906845,-0.022375
0,1,1,1.271,0.470,0.257,-1.152,4,0.50,0.210651,-0.001892,-0.453386,0.499936,-0.906888,-0.008981
0,1,1,1.271,0.470,0.257,-1.152,5,0.60,0.252705,0.001115,-0.544063,0.599888,-0.906941,0.004412
0,1,1,1.271,0.470,0.257,-1.152,6,0.70,0.294664,0.005247,-0.634741,0.699822,-0.907003,0.017806
0,1,1,1.271,0.470,0.257,-1.152,14,1.40,0.583186,0.065331,-1.269481,1.398555,-0.907709,0.111560
0,1,1,1.271,0.470,0.257,-1.152,15,1.50,0.623306,0.078292,-1.360158,1.498223,-0.907848,0.124953
0,1,1,1.271,0.470,0.257,-1.152,16,1.60,0.663065,0.092322,-1.450836,1.597843,-0.907996,0.138346
0,1,1,1.271,0.470,0.257,-1.152,17,1.70,0.702434,0.107413,-1.541513,1.697414,-0.908154,0.151740
0,1,1,1.271,0.470,0.257,-1.152,18,1.80,0.741385,0.123552,-1.632190,1.796931,-0.908321,0.165133
0,1,1,1.271,0.470,0.257,-1.152,19,1.90,0.779889,0.140729,-1.722867,1.896392,-0.908497,0.178527
0,1,1,1.271,0.470,0.257,-1.152,20,2.20,0.892451,0.198358,-1.994899,2.194410,-0.909082,0.218707
1,0,0,0.325,-0.215,-0.143,-0.198,20,2.10,-1.389099,-0.921328,-1.277325,2.100000,-0.608250,0.585638
2,0,0,0.161,0.018,0.090,-0.133,20,2.20,0.240170,1.224046,-1.812189,2.200000,-0.823722,1.377048
3,3,1,0.346,-0.212,-0.227,0.061,1,0.20,-0.160290,-0.081242,0.035274,0.183132,0.192615,0.469111
3,3,1,0.346,-0.212,-0.227,0.061,2,0.30,-0.239468,-0.123722,0.052911,0.274685,0.192624,0.476880
3,3,1,0.346,-0.212,-0.227,0.061,3,0.40,-0.317978,-0.167426,0.070548,0.366222,0.192637,0.484649
3,3,1,0.346,-0.212,-0.227,0.061,4,0.50,-0.395798,-0.212345,0.088185,0.457737,0.192654,0.492419
3,3,1,0.346,-0.212,-0.227,0.061,5,0.60,-0.472911,-0.258468,0.105822,0.549226,0.192674,0.500188
3,3,1,0.346,-0.212,-0.227,0.061,6,0.70,-0.549299,-0.305784,0.123459,0.640683,0.192699,0.507957
3,3,1,0.346,-0.212,-0.227,0.061,14,1.60,-1.201134,-0.783313,0.282192,1.461483,0.193086,0.577881
3,3,1,0.346,-0.212,-0.227,0.061,15,1.70,-1.269278,-0.841880,0.299829,1.552329,0.193147,0.585651
3,3,1,0.346,-0.212,-0.227,0.061,16,1.80,-1.336504,-0.901499,0.317465,1.643085,0.193213,0.593420
3,3,1,0.346,-0.212,-0.227,0.061,17,1.90,-1.402796,-0.962156,0.335102,1.733745,0.193282,0.601189
3,3,1,0.346,-0.212,-0.227,0.061,18,2.00,-1.468137,-1.023835,0.352739,1.824305,0.193356,0.608959
3,3,1,0.346,-0.212,-0.227,0.061,19,2.10,-1.532512,-1.086522,0.370376,1.914758,0.193432,0.616728
3,3,1,0.346,-0.212,-0.227,0.061,20,2.40,-1.719684,-1.280477,0.423287,2.185431,0.193686,0.640036
4,0,0,0.145,0.068,0.033,-0.124,20,2.20,1.033768,0.500945,-1.876267,2.200000,-0.852849,0.451237
5,3,1,1.047,-0.525,-0.434,-0.783,1,0.20,-0.130045,0.000961,-0.149592,0.198218,-0.754684,-0.007392
5,3,1,1.047,-0.525,-0.434,-0.783,2,0.30,-0.195017,-0.001879,-0.224388,0.297296,-0.754763,0.009635
5,3,1,1.047,-0.525,-0.434,-0.783,3,0.40,-0.259854,-0.006930,-0.299184,0.396337,-0.754873,0.026662
5,3,1,1.047,-0.525,-0.434,-0.783,4,0.50,-0.324482,-0.014185,-0.373980,0.495329,-0.755014,0.043688
5,3,1,1.047,-0.525,-0.434,-0.783,5,0.60,-0.388825,-0.023637,-0.448776,0.594259,-0.755187,0.060715
5,3,1,1.047,-0.525,-0.434,-0.783,6,0.70,-0.452809,-0.035273,-0.523572,0.693115,-0.755390,0.077741
5,3,1,1.047,-0.525,-0.434,-0.783,7,0.80,-0.516360,-0.049081,-0.598368,0.791885,-0.755626,0.094768
5,3,1,1.047,-0.525,-0.434,-0.783,8,0.90,-0.579404,-0.065045,-0.673164,0.890556,-0.755892,0.111795
5,3,1,1.047,-0.525,-0.434,-0.783,20,2.20,-1.320745,-0.457027,-1.645513,2.158924,-0.762191,0.333140
6,0,0,0.868,0.433,-0.215,-0.722,20,2.10,1.046615,-0.519196,-1.745002,2.100000,-0.830954,-0.460500
7,0,0,0.530,0.010,0.227,-0.479,20,2.10,0.039191,0.897429,-1.898179,2.100000,-0.903895,1.527154
8,3,1,0.201,-0.110,-0.089,0.030,1,0.30,-0.187063,-0.098670,0.045316,0.216292,0.209514,0.485379
8,3,1,0.201,-0.110,-0.089,0.030,2,0.40,-0.248948,-0.132439,0.060421,0.288385,0.209517,0.488914
8,3,1,0.201,-0.110,-0.089,0.030,3,0.50,-0.310592,-0.166644,0.075527,0.360474,0.209521,0.492450
