id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,2,1,1.898,-1.658,-0.732,-0.555,1,0.20,-0.174646,-0.077147,-0.058521,0.199694,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,2,0.30,-0.261970,-0.115720,-0.087781,0.299541,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,3,0.40,-0.349293,-0.154293,-0.117042,0.399388,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,4,0.50,-0.436616,-0.192866,-0.146302,0.499235,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,5,0.60,-0.523939,-0.231440,-0.175563,0.599082,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,6,0.70,-0.611262,-0.270013,-0.204823,0.698929,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,15,1.50,-1.309848,-0.578599,-0.438907,1.497704,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,16,1.60,-1.397171,-0.617172,-0.468168,1.597551,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,17,1.70,-1.484494,-0.655746,-0.497428,1.697398,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,18,1.80,-1.571817,-0.694319,-0.526689,1.797245,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,19,1.90,-1.659140,-0.732892,-0.555949,1.897092,-0.293053,0.415955
0,2,1,1.898,-1.658,-0.732,-0.555,20,2.30,-2.008433,-0.887185,-0.672991,2.296480,-0.293053,0.415955
1,1,1,2.896,2.015,0.698,1.959,1,0.20,0.139181,0.048175,0.135307,0.200000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,2,0.30,0.208771,0.072263,0.202960,0.300000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,3,0.40,0.278361,0.096351,0.270613,0.400000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,4,0.50,0.347952,0.120438,0.338266,0.500000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,5,0.60,0.417542,0.144526,0.405920,0.600000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,6,0.70,0.487133,0.168614,0.473573,0.700000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,14,1.40,0.974265,0.337227,0.947146,1.400000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,15,1.50,1.043856,0.361315,1.014799,1.500000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,16,1.60,1.113446,0.385402,1.082452,1.600000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,17,1.70,1.183036,0.409490,1.150106,1.700000,0.676533,0.333227
1,1,1,2.896,2.015,0.698,1.959,18,1.80,1.252627,0.433578,1.217759,1.800000,0.676533,0.333227
