id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,3,-1,5.153,4.864,0.808,-1.492,1,0.20,-0.042916,-0.184998,-0.057890,0.198538,-0.291583,1.342849
0,3,-1,5.153,4.864,0.808,-1.492,2,0.30,-0.096761,-0.264090,-0.086836,0.294358,-0.295000,1.219591
0,3,-1,5.153,4.864,0.808,-1.492,3,0.40,-0.168279,-0.327652,-0.115781,0.386107,-0.299867,1.096334
0,3,-1,5.153,4.864,0.808,-1.492,4,0.50,-0.253146,-0.371839,-0.144726,0.472539,-0.306273,0.973076
0,3,-1,5.153,4.864,0.808,-1.492,5,0.60,-0.346230,-0.393981,-0.173671,0.552502,-0.314336,0.849819
0,3,-1,5.153,4.864,0.808,-1.492,6,0.80,-0.534381,-0.368187,-0.231562,0.689018,-0.336075,0.603304
0,3,-1,5.153,4.864,0.808,-1.492,7,0.90,-0.618072,-0.321811,-0.260507,0.743935,-0.350174,0.480046
0,3,-1,5.153,4.864,0.808,-1.492,8,1.20,-0.770263,-0.085286,-0.347342,0.849249,-0.408999,0.110274
0,3,-1,5.153,4.864,0.808,-1.492,9,3.00,-0.210368,-0.352892,-0.868356,0.960640,-0.903934,1.033230
0,3,-1,5.153,4.864,0.808,-1.492,10,3.10,-0.300122,-0.386046,-0.897301,1.021887,-0.878082,0.909973
0,3,-1,5.153,4.864,0.808,-1.492,11,3.30,-0.490009,-0.383020,-0.955191,1.139826,-0.838015,0.663458
0,3,-1,5.153,4.864,0.808,-1.492,12,3.50,-0.655848,-0.290482,-1.013082,1.241310,-0.816139,0.416942
0,3,-1,5.153,4.864,0.808,-1.492,13,3.70,-0.758138,-0.130473,-1.070972,1.318628,-0.812187,0.170427
0,3,-1,5.153,4.864,0.808,-1.492,14,4.20,-0.627785,0.300056,-1.215698,1.400739,-0.867898,-0.445860
0,3,-1,5.153,4.864,0.808,-1.492,15,5.20,-0.010524,-0.097392,-1.505150,1.508335,-0.997889,1.463157
0,3,-1,5.153,4.864,0.808,-1.492,16,5.40,-0.098282,-0.265810,-1.563041,1.588525,-0.983957,1.216642
0,3,-1,5.153,4.864,0.808,-1.492,17,5.70,-0.348513,-0.394227,-1.649876,1.731753,-0.952720,0.846869
0,3,-1,5.153,4.864,0.808,-1.492,18,5.80,-0.444177,-0.392420,-1.678821,1.780373,-0.942960,0.723611
0,3,-1,5.153,4.864,0.808,-1.492,19,6.10,-0.689380,-0.254647,-1.765657,1.912494,-0.923222,0.353839
0,3,-1,5.153,4.864,0.808,-1.492,20,7.00,-0.405107,0.381564,-2.026164,2.101200,-0.964289,-0.755479
1,0,0,5.191,-0.694,4.812,1.819,20,2.10,-0.280699,1.946731,0.735829,2.100000,0.350395,-1.427593
