id,pid,charge,e,px,py,pz,radius,time,x,y,z,r,pt,pp
0,3,-1,1.556,-1.157,0.378,-0.960,1,0.20,-0.085430,-0.130882,-0.123410,0.199144,-0.619701,0.992507
0,3,-1,1.556,-1.157,0.378,-0.960,2,0.30,-0.133954,-0.192186,-0.185115,0.298574,-0.619996,0.962084
0,3,-1,1.556,-1.157,0.378,-0.960,3,0.40,-0.186116,-0.250426,-0.246820,0.397834,-0.620408,0.931662
0,3,-1,1.556,-1.157,0.378,-0.960,4,0.50,-0.241723,-0.305386,-0.308525,0.496868,-0.620939,0.901240
0,3,-1,1.556,-1.157,0.378,-0.960,5,0.60,-0.300569,-0.356863,-0.370230,0.595620,-0.621587,0.870818
0,3,-1,1.556,-1.157,0.378,-0.960,6,0.70,-0.362436,-0.404667,-0.431934,0.694033,-0.622354,0.840396
0,3,-1,1.556,-1.157,0.378,-0.960,7,0.80,-0.427095,-0.448620,-0.493639,0.792055,-0.623239,0.809973
0,3,-1,1.556,-1.157,0.378,-0.960,8,0.90,-0.494308,-0.488561,-0.555344,0.889629,-0.624243,0.779551
0,3,-1,1.556,-1.157,0.378,-0.960,15,1.60,-1.014432,-0.645358,-0.987279,1.555725,-0.634610,0.566596
0,3,-1,1.556,-1.157,0.378,-0.960,16,1.70,-1.092521,-0.649220,-1.048984,1.647864,-0.636572,0.536174
0,3,-1,1.556,-1.157,0.378,-0.960,17,1.80,-1.170700,-0.648327,-1.110689,1.739108,-0.638654,0.505752
0,3,-1,1.556,-1.157,0.378,-0.960,18,1.90,-1.248680,-0.642681,-1.172394,1.829412,-0.640858,0.475329
0,3,-1,1.556,-1.157,0.378,-0.960,19,2.00,-1.326172,-0.632305,-1.234099,1.918734,-0.643184,0.444907
0,3,-1,1.556,-1.157,0.378,-0.960,20,2.30,-1.552871,-0.573258,-1.419213,2.180413,-0.650892,0.353641
1,3,-1,1.028,-0.446,-0.337,-0.852,1,0.20,-0.037312,-0.102113,-0.165674,0.198159,-0.836064,1.220464
1,3,-1,1.028,-0.446,-0.337,-0.852,2,0.30,-0.058095,-0.152347,-0.248510,0.297224,-0.836105,1.206487
1,3,-1,1.028,-0.446,-0.337,-0.852,3,0.40,-0.080273,-0.201981,-0.331347,0.396271,-0.836163,1.192510
1,3,-1,1.028,-0.446,-0.337,-0.852,4,0.50,-0.103829,-0.250975,-0.414184,0.495295,-0.836236,1.178533
1,3,-1,1.028,-0.446,-0.337,-0.852,5,0.60,-0.128746,-0.299292,-0.497021,0.594290,-0.836327,1.164556
1,3,-1,1.028,-0.446,-0.337,-0.852,6,0.70,-0.155004,-0.346894,-0.579858,0.693251,-0.836433,1.150579
1,3,-1,1.028,-0.446,-0.337,-0.852,7,0.80,-0.182581,-0.393743,-0.662695,0.792170,-0.836556,1.136603
1,3,-1,1.028,-0.446,-0.337,-0.852,8,0.90,-0.211458,-0.439803,-0.745531,0.891043,-0.836695,1.122626
1,3,-1,1.028,-0.446,-0.337,-0.852,19,1.90,-0.566207,-0.849426,-1.573899,1.875973,-0.838978,0.982856
